,Source,Tweet,Date,Compound Analysis,Positive,Negative,Neutral,Tweets Ago
0,@BBC,"3 homeless people die every week in the UK.
Meanwhile in Finland...

(via @BBCThree) https://t.co/P4MYjbE4d1",Thu Oct 04 06:03:01 +0000 2018,-0.5994,0.0,0.231,0.769,1
1,@BBC,"The search for Lord Sugar's next business partner begins, and this year the challenges are bigger and better than e… https://t.co/El1AyC5sXs",Wed Oct 03 19:04:04 +0000 2018,0.4939,0.181,0.0,0.819,2
2,@BBC,🎧❤️ Dementia playlists are making such a big difference to these people.  https://t.co/ojVDVuP6to,Wed Oct 03 17:59:01 +0000 2018,0.0,0.0,0.0,1.0,3
3,@BBC,RT @BBCnireland: ✍ @BBCApprentice is back tonight on @BBCOne so here are some tips to get you hired! - https://t.co/gc5KSIFQf1 https://t.co…,Wed Oct 03 17:03:42 +0000 2018,0.5411,0.149,0.0,0.851,4
4,@BBC,❤️ Couples will soon be able to choose a civil partnership instead of a marriage thanks to Rebecca and Charles. https://t.co/nampxOV5ur,Wed Oct 03 16:55:01 +0000 2018,0.4404,0.132,0.0,0.868,5
5,@BBC,🍜 The humble origins of an incredibly versatile food – the potted history of instant noodles. https://t.co/3RMBZ33zFY,Wed Oct 03 15:58:03 +0000 2018,0.0,0.0,0.0,1.0,6
6,@BBC,"🌙 'Leonardo da Vinci was the first recorded person to realise what a crescent moon was.'

Nine out of this world fa… https://t.co/cpzfOniwxA",Wed Oct 03 13:04:03 +0000 2018,0.0,0.0,0.0,1.0,7
7,@BBC,"That time @RyanGosling was training to be an astronaut and DEFINITELY WASN'T (was) sick. 
#TheGNShow https://t.co/mf8dnizxAV",Wed Oct 03 11:57:04 +0000 2018,0.7299,0.305,0.0,0.695,8
8,@BBC,"🕺🎙 'Tom Daley was an Elvis impersonator - with his dad'

10 surprising things we learned from @TomDaley1994’s… https://t.co/NGQAEEJWdl",Wed Oct 03 11:01:02 +0000 2018,0.2732,0.11,0.0,0.89,9
9,@BBC,"19-year-old rapper Kitch has a stutter when he speaks - but when he performs, it usually disappears. https://t.co/tVXhIeAwEg",Wed Oct 03 08:02:04 +0000 2018,-0.5574,0.0,0.247,0.753,10
10,@BBC,"RT @BBCRadio2: 🥁Drumroll please!🥁

Our brand new Breakfast Show host is @ZoeTheBall! 👏

https://t.co/th597DBxQI https://t.co/dbfQgMsuHO",Wed Oct 03 08:01:24 +0000 2018,0.0,0.0,0.0,1.0,11
11,@BBC,"🐧 A zoo has been forced to fill its new penguin exhibit with models, as a shortage of birds means it is unable to g… https://t.co/BmSAy8zQJP",Wed Oct 03 07:04:08 +0000 2018,-0.6124,0.0,0.185,0.815,12
12,@BBC,"""Oh, I'm so sorry,"" and other things not to say to amputees. 
(via @BBCThree) https://t.co/L8eiOleNyi",Wed Oct 03 06:08:02 +0000 2018,0.0,0.0,0.0,1.0,13
13,@BBC,"Discover the extraordinary story of how a small Scottish bank grew to briefly become the biggest in the world, befo… https://t.co/OQpgOJ7edi",Tue Oct 02 19:02:07 +0000 2018,0.0,0.0,0.0,1.0,14
14,@BBC,Knife crime is up 22%. Who are the victims and what’s to blame? https://t.co/ZEAml31p9m,Tue Oct 02 17:55:03 +0000 2018,-0.802,0.0,0.427,0.573,15
15,@BBC,"The gender reveal party that sparked a massive 47,000 acre wildfire. 
👉 https://t.co/b0Xc17AuK5 https://t.co/ROh8TOMH7K",Tue Oct 02 17:06:06 +0000 2018,0.4019,0.153,0.0,0.847,16
16,@BBC,"In 2002, Iberian Lynx were the rarest cats in the world. But then something remarkable happened... https://t.co/iEVCaSDvjN",Tue Oct 02 16:06:02 +0000 2018,0.7096,0.234,0.0,0.766,17
17,@BBC,Two scientists who discovered how to fight cancer using the body's immune system have won the 2018 #NobelPrize for… https://t.co/fIj6Ly7Z3u,Tue Oct 02 14:06:04 +0000 2018,-0.2732,0.204,0.242,0.554,18
18,@BBC,"🍲😋 A bowl of warm, hearty stew is always a welcome sight on a cold day.

From a classic beef stew to a vegetarian h… https://t.co/1X1qdk14Oh",Tue Oct 02 13:05:03 +0000 2018,0.5994,0.205,0.0,0.795,19
19,@BBC,"Jodie Whittaker. New Doctor...and a 'Shat Lass'.
#TheGNShow #DoctorWho https://t.co/25HwEbjAfn",Tue Oct 02 12:05:04 +0000 2018,0.0,0.0,0.0,1.0,20
20,@BBC,"3 homeless people die every week in the UK.
Meanwhile in Finland...

(via @BBCThree) https://t.co/P4MYjbE4d1",Thu Oct 04 06:03:01 +0000 2018,-0.5994,0.0,0.231,0.769,21
21,@BBC,"The search for Lord Sugar's next business partner begins, and this year the challenges are bigger and better than e… https://t.co/El1AyC5sXs",Wed Oct 03 19:04:04 +0000 2018,0.4939,0.181,0.0,0.819,22
22,@BBC,🎧❤️ Dementia playlists are making such a big difference to these people.  https://t.co/ojVDVuP6to,Wed Oct 03 17:59:01 +0000 2018,0.0,0.0,0.0,1.0,23
23,@BBC,RT @BBCnireland: ✍ @BBCApprentice is back tonight on @BBCOne so here are some tips to get you hired! - https://t.co/gc5KSIFQf1 https://t.co…,Wed Oct 03 17:03:42 +0000 2018,0.5411,0.149,0.0,0.851,24
24,@BBC,❤️ Couples will soon be able to choose a civil partnership instead of a marriage thanks to Rebecca and Charles. https://t.co/nampxOV5ur,Wed Oct 03 16:55:01 +0000 2018,0.4404,0.132,0.0,0.868,25
25,@BBC,🍜 The humble origins of an incredibly versatile food – the potted history of instant noodles. https://t.co/3RMBZ33zFY,Wed Oct 03 15:58:03 +0000 2018,0.0,0.0,0.0,1.0,26
26,@BBC,"🌙 'Leonardo da Vinci was the first recorded person to realise what a crescent moon was.'

Nine out of this world fa… https://t.co/cpzfOniwxA",Wed Oct 03 13:04:03 +0000 2018,0.0,0.0,0.0,1.0,27
27,@BBC,"That time @RyanGosling was training to be an astronaut and DEFINITELY WASN'T (was) sick. 
#TheGNShow https://t.co/mf8dnizxAV",Wed Oct 03 11:57:04 +0000 2018,0.7299,0.305,0.0,0.695,28
28,@BBC,"🕺🎙 'Tom Daley was an Elvis impersonator - with his dad'

10 surprising things we learned from @TomDaley1994’s… https://t.co/NGQAEEJWdl",Wed Oct 03 11:01:02 +0000 2018,0.2732,0.11,0.0,0.89,29
29,@BBC,"19-year-old rapper Kitch has a stutter when he speaks - but when he performs, it usually disappears. https://t.co/tVXhIeAwEg",Wed Oct 03 08:02:04 +0000 2018,-0.5574,0.0,0.247,0.753,30
